"","i"
"74","sk__Eukaryota, k__Metazoa, p__Arthropoda, c__Malacostraca, o__Amphipoda, f__Crangonyctidae, g__Crangonyx, s__Crangonyx_floridanus"
"75","sk__Eukaryota, k__Metazoa, p__Arthropoda, c__Malacostraca, o__Amphipoda, f__Crangonyctidae, g__Crangonyx, s__Crangonyx_pseudogracilis"
"76","sk__Eukaryota, k__Metazoa, p__Arthropoda, c__Ostracoda, o__Podocopida, f__Cyprididae, g__Cyprideis, s__Cyprideis_torosa"
"77","sk__Eukaryota, k__Metazoa, p__Arthropoda, c__unknown, o__unknown, f__unknown, g__unknown, s__Arthropoda_environmental_sample"
"78","sk__Eukaryota, k__Metazoa, p__Arthropoda, c__unknown, o__unknown, f__unknown, g__unknown, s__Maxillopoda_sp._BOLD:ACW5478"
"79","sk__Eukaryota, k__Metazoa, p__Chordata, c__Actinopteri, o__Cypriniformes, f__Cyprinidae, g__Abramis, s__Abramis_brama"
"80","sk__Eukaryota, k__Metazoa, p__Chordata, c__Actinopteri, o__Cypriniformes, f__Cyprinidae, g__Pseudorasbora, s__Pseudorasbora_parva"
"81","sk__Eukaryota, k__Metazoa, p__Chordata, c__Actinopteri, o__Salmoniformes, f__Salmonidae, g__Oncorhynchus, s__Oncorhynchus_mykiss"
"82","sk__Eukaryota, k__Metazoa, p__Chordata, c__Mammalia, o__Primates, f__Hominidae, g__Homo, s__Homo_sapiens"
"83","sk__Eukaryota, k__Metazoa, p__Chordata, c__Mammalia, o__Rodentia, f__Muridae, g__Mus, s__Mus_musculus"
"84","sk__Eukaryota, k__Metazoa, p__Chordata, c__Mammalia, o__unknown, f__Suidae, g__Sus, s__Sus_scrofa"
"85","sk__Eukaryota, k__Metazoa, p__Cnidaria, c__Hydrozoa, o__Anthoathecata, f__Hydridae, g__Hydra, s__Hydra_oligactis"
"86","sk__Eukaryota, k__Metazoa, p__Cnidaria, c__Hydrozoa, o__Limnomedusae, f__Olindiidae, g__Craspedacusta, s__Craspedacusta_sowerbii"
"87","sk__Eukaryota, k__Metazoa, p__Gastrotricha, c__unknown, o__Chaetonotida, f__Chaetonotidae, g__Chaetonotus, s__Chaetonotus_sp._bor_MK-2018"
"88","sk__Eukaryota, k__Metazoa, p__Nematoda, c__Chromadorea, o__Plectida, f__Plectidae, g__Plectus, s__Plectus_aquatilis"
"89","sk__Eukaryota, k__Metazoa, p__Platyhelminthes, c__Catenulida, o__unknown, f__Stenostomidae, g__Stenostomum, s__Stenostomum_sthenum"
"90","sk__Eukaryota, k__Metazoa, p__Platyhelminthes, c__unknown, o__Tricladida, f__Dugesiidae, g__Schmidtea, s__Schmidtea_polychroa"
"91","sk__Eukaryota, k__Metazoa, p__Rotifera, c__Bdelloidea, o__Philodinida, f__Philodinidae, g__Dissotrocha, s__Dissotrocha_macrostyla"
"92","sk__Eukaryota, k__Metazoa, p__Rotifera, c__Bdelloidea, o__Philodinida, f__Philodinidae, g__Philodina, s__Philodina_citrina"
"93","sk__Eukaryota, k__Metazoa, p__Rotifera, c__Monogononta, o__Ploima, f__Asplanchnidae, g__Asplanchna, s__Asplanchna_sieboldi"
"94","sk__Eukaryota, k__Metazoa, p__Rotifera, c__Monogononta, o__Ploima, f__Brachionidae, g__Brachionus, s__Brachionus_angularis"
"95","sk__Eukaryota, k__Metazoa, p__Rotifera, c__Monogononta, o__Ploima, f__Brachionidae, g__Brachionus, s__Brachionus_calyciflorus"
"96","sk__Eukaryota, k__Metazoa, p__Rotifera, c__Monogononta, o__Ploima, f__Brachionidae, g__Euchlanis, s__Euchlanis_dilatata"
"97","sk__Eukaryota, k__Metazoa, p__Rotifera, c__Monogononta, o__Ploima, f__Brachionidae, g__Kellicottia, s__Kellicottia_sp._BIOUG30062-G11"
"98","sk__Eukaryota, k__Metazoa, p__Rotifera, c__Monogononta, o__Ploima, f__Brachionidae, g__Keratella, s__Keratella_cochlearis"
"99","sk__Eukaryota, k__Metazoa, p__Rotifera, c__Monogononta, o__Ploima, f__Brachionidae, g__Keratella, s__Keratella_quadrata"
"100","sk__Eukaryota, k__Metazoa, p__Rotifera, c__Monogononta, o__Ploima, f__Gastropidae, g__Ascomorpha, s__Ascomorpha_ecaudis"
"101","sk__Eukaryota, k__Metazoa, p__Rotifera, c__Monogononta, o__Ploima, f__Synchaetidae, g__Polyarthra, s__Polyarthra_dolichoptera_complex_sp._UO-2013"
"102","sk__Eukaryota, k__Metazoa, p__Rotifera, c__Monogononta, o__Ploima, f__Synchaetidae, g__Polyarthra, s__Polyarthra_sp._UO-2013"
"103","sk__Eukaryota, k__Metazoa, p__Rotifera, c__Monogononta, o__Ploima, f__Synchaetidae, g__Polyarthra, s__Polyarthra_sp._WM-2017a"
"104","sk__Eukaryota, k__Metazoa, p__Rotifera, c__Monogononta, o__Ploima, f__Synchaetidae, g__Synchaeta, s__Synchaeta_cf._tremula/oblonga_UO-2012"
"105","sk__Eukaryota, k__Metazoa, p__Rotifera, c__Monogononta, o__Ploima, f__Synchaetidae, g__Synchaeta, s__Synchaeta_pectinata"
"106","sk__Eukaryota, k__Metazoa, p__Rotifera, c__Monogononta, o__Ploima, f__Synchaetidae, g__Synchaeta, s__Synchaeta_sp._WM-2017a"
"107","sk__Eukaryota, k__Metazoa, p__unknown, c__unknown, o__unknown, f__unknown, g__unknown, s__invertebrate_environmental_sample"
"108","sk__Eukaryota, k__Viridiplantae, p__Chlorophyta, c__Chlorophyceae, o__Chlamydomonadales, f__Volvocaceae, g__Yamagishiella, s__Yamagishiella_unicocca"
"109","sk__Eukaryota, k__Viridiplantae, p__Chlorophyta, c__Chlorophyceae, o__Sphaeropleales, f__Scenedesmaceae, g__Tetradesmus, s__Tetradesmus_obliquus"
"110","sk__Eukaryota, k__unknown, p__Bacillariophyta, c__Bacillariophyceae, o__Cymbellales, f__Gomphonemataceae, g__Gomphonema, s__Gomphonema_parvulum"
"111","sk__Eukaryota, k__unknown, p__Bacillariophyta, c__Bacillariophyceae, o__Naviculales, f__Naviculaceae, g__Fistulifera, s__Fistulifera_solaris"
"112","sk__Eukaryota, k__unknown, p__Bacillariophyta, c__Bacillariophyceae, o__Naviculales, f__Pinnulariaceae, g__Pinnularia, s__Pinnularia_neomajor"
"113","sk__Eukaryota, k__unknown, p__Bacillariophyta, c__Bacillariophyceae, o__Naviculales, f__Sellaphoraceae, g__Sellaphora, s__Sellaphora_obesa"
"114","sk__Eukaryota, k__unknown, p__Bacillariophyta, c__Coscinodiscophyceae, o__Melosirales, f__Melosiraceae, g__Melosira, s__Melosira_ambiqua"
"115","sk__Eukaryota, k__unknown, p__Bacillariophyta, c__Coscinodiscophyceae, o__Thalassiosirales, f__Skeletonemataceae, g__Skeletonema, s__Skeletonema_potamos"
"116","sk__Eukaryota, k__unknown, p__Bacillariophyta, c__Coscinodiscophyceae, o__Thalassiosirales, f__Stephanodiscaceae, g__Cyclostephanos, s__Cyclostephanos_dubius"
"117","sk__Eukaryota, k__unknown, p__Bacillariophyta, c__Coscinodiscophyceae, o__Thalassiosirales, f__Stephanodiscaceae, g__Cyclostephanos, s__Cyclostephanos_invisitatus"
"118","sk__Eukaryota, k__unknown, p__Bacillariophyta, c__Coscinodiscophyceae, o__Thalassiosirales, f__Stephanodiscaceae, g__Cyclostephanos, s__Cyclostephanos_sp._WTC16"
"119","sk__Eukaryota, k__unknown, p__Bacillariophyta, c__Coscinodiscophyceae, o__Thalassiosirales, f__Stephanodiscaceae, g__Stephanodiscus, s__Stephanodiscus_cf._minutulus"
"120","sk__Eukaryota, k__unknown, p__Bacillariophyta, c__Coscinodiscophyceae, o__Thalassiosirales, f__Thalassiosiraceae, g__Thalassiosira, s__Thalassiosira_pseudonana"
"121","sk__Eukaryota, k__unknown, p__unknown, c__Chrysophyceae, o__Chromulinales, f__Dinobryaceae, g__Dinobryon, s__Dinobryon_divergens"
"122","sk__Eukaryota, k__unknown, p__unknown, c__Chrysophyceae, o__Chromulinales, f__Paraphysomonadaceae, g__Paraphysomonas, s__Paraphysomonas_sp."
"123","sk__Eukaryota, k__unknown, p__unknown, c__Chrysophyceae, o__unknown, f__unknown, g__unknown, s__Chrysophyceae_sp."
"124","sk__Eukaryota, k__unknown, p__unknown, c__Florideophyceae, o__Batrachospermales, f__Batrachospermaceae, g__Batrachospermum, s__Batrachospermum_gelatinosum"
